respondent_id,segment,role,building_type,num_buildings,total_gfa,primary_emirate,years_in_uae,monthly_bill_aed,bill_category,hvac_pct_of_bill,bill_change_3yr,summer_cooling_spike,monitor_manual,monitor_smart_meter,monitor_bms,monitor_iot,monitor_audit,monitor_none,realtime_visibility_score,energy_intensity_tracking,pain_high_cost,pain_old_hvac,pain_no_data,pain_occupancy,pain_wastage,pain_comfort,pain_maintenance,pain_compliance,hvac_satisfaction,strategy_awareness,sustainability_strategy,tariff_impact,stakeholder_pressure,tech_smart_meter,tech_iot_sensor,tech_auto_lighting,tech_bms,tech_air_quality,tech_ai_maintenance,tech_solar,tech_none,ai_openness,min_savings_threshold,feat_dashboard,feat_auto_hvac,feat_occupancy,feat_predictive,feat_air_quality,feat_carbon,feat_bms_integ,feat_mobile_app,feat_compliance,commercial_model,max_payback,wtp_aed_per_building,wtp_category,pilot_interest,ai_adoption_vision,adoption_class
1,Cost-Driven Laggards,Sustainability Officer,Industrial/Warehouse,2-5,5k-20km²,Dubai,2-5 years,5000.0,<20k,74.5,Increased 5-20%,>100%,1,0,0,0,0,0,2,Yes-systematic,1,1,1,1,1,0,1,0,1.0,Not familiar,Full strategy,No impact,3.0,0,0,0,0,0,0,0,1,3,21-30%,3,5,4,4,4,3.0,3,4,3,SaaS Subscription,3-5yr,1419.1941132120473,<2k,2,Regulation-driven,Evaluator
2,Resistant Traditionalists,Other,Hotel/Hospitality,2-5,<5000m²,RAK,>10 years,57000.0,20k-100k,70.3,Increased>20%,>100%,0,0,0,0,0,0,1,Yes-systematic,0,0,1,0,1,0,1,1,4.0,Very familiar,No plans,Significantly impacted,1.0,0,0,0,0,0,0,0,1,1,21-30%,3,3,2,2,2,3.0,2,1,2,CAPEX,5-7yr,3322.383791357106,2k-5k,2,Limited adoption,Not Ready
3,Tech-Forward Operators,Operations Manager,Government Facility,6-15,100k-500km²,Dubai,>10 years,821000.0,500k-2M,70.0,Increased 5-20%,20-50%,0,0,1,1,1,0,8,Yes-systematic,1,1,0,0,1,0,0,0,2.0,Somewhat familiar,Full strategy,Moderately impacted,8.0,0,0,1,1,1,1,1,0,5,21-30%,3,5,3,5,5,4.0,5,5,4,Savings-Sharing,3-5yr,13983.440355752615,5k-15k,5,Standard across all,High-Intent Buyer
4,Compliance-Led Adopters,Property Owner,Healthcare,6-15,>500km²,Dubai,>10 years,298000.0,100k-500k,58.7,Decreased>20%,51-100%,0,0,0,1,0,0,8,Yes-systematic,1,1,0,0,0,1,0,1,3.0,Very familiar,In development,Significantly impacted,7.0,0,1,1,0,1,1,0,0,3,5-10%,4,4,2,4,4,3.0,4,4,5,CAPEX,1-2yr,11521.557457382229,5k-15k,4,Limited adoption,Evaluator
5,Cost-Driven Laggards,Sustainability Officer,Other,6-15,5k-20km²,Abu Dhabi,6-10 years,165000.0,100k-500k,80.3,Increased 5-20%,>100%,0,1,0,0,0,0,1,No plans,1,1,1,0,0,0,0,0,1.0,Very familiar,Plan to,Significantly impacted,6.0,0,0,1,0,0,0,0,1,2,21-30%,5,5,4,3,4,1.0,3,2,3,Savings-Sharing,<1yr,500.0,<2k,3,Premium/Grade-A only,Evaluator
6,Cost-Driven Laggards,Hospitality Manager,Retail/Mall,2-5,5k-20km²,Dubai,2-5 years,105000.0,100k-500k,83.9,Increased 5-20%,>100%,1,0,0,0,0,0,3,Plan to,1,1,1,0,1,0,1,0,3.0,Somewhat familiar,In development,Significantly impacted,6.0,0,0,0,0,0,1,0,1,3,21-30%,3,5,4,4,2,2.0,4,4,2,SaaS Subscription,Savings-Guaranteed,6783.606296425642,5k-15k,2,Premium/Grade-A only,Evaluator
7,Cost-Driven Laggards,Operations Manager,Commercial Office,1,5k-20km²,Dubai,2-5 years,73000.0,20k-100k,68.1,Decreased 5-20%,>100%,0,0,0,0,0,0,3,Yes-occasional,1,0,0,0,1,0,1,0,3.0,Very familiar,Plan to,Significantly impacted,5.0,1,0,0,0,0,0,0,1,3,>30%,3,4,4,3,3,2.0,2,1,2,Savings-Sharing,3-5yr,5635.508383666731,5k-15k,3,Standard across all,Evaluator
8,Cost-Driven Laggards,Facilities Manager,Residential Tower,6-15,<5000m²,Abu Dhabi,6-10 years,71000.0,20k-100k,69.2,Increased 5-20%,51-100%,0,1,0,0,0,1,3,Yes-systematic,1,1,0,0,0,0,1,0,3.0,Not familiar,Plan to,Moderately impacted,6.0,0,0,0,0,0,0,0,1,3,21-30%,1,5,2,4,3,1.0,3,3,3,SaaS Subscription,>7yr,2618.273300577236,2k-5k,2,Premium/Grade-A only,Evaluator
9,Cost-Driven Laggards,Facilities Manager,Commercial Office,1,20k-100km²,Abu Dhabi,2-5 years,174000.0,100k-500k,70.9,Increased 5-20%,>100%,1,1,0,0,0,0,2,No plans,1,1,1,0,1,0,0,0,2.0,Somewhat familiar,Plan to,No impact,6.0,1,0,1,0,0,0,0,1,2,>30%,4,5,3,5,3,1.0,3,4,3,CAPEX,5-7yr,500.0,<2k,3,Regulation-driven,Evaluator
10,Tech-Forward Operators,Sustainability Officer,Retail/Mall,50+,20k-100km²,Dubai,>10 years,472000.0,100k-500k,58.6,Increased 5-20%,>100%,0,0,0,1,1,0,5,Plan to,1,0,1,0,0,0,1,0,2.0,Very familiar,Full strategy,Significantly impacted,9.0,1,1,1,1,1,1,0,0,5,5-10%,5,5,5,5,5,2.0,5,5,4,SaaS Subscription,5-7yr,15819.577954930975,15k-30k,5,Standard across all,High-Intent Buyer
